4.3, 4.2961, 4.286, 4.2753, 4.2696, 4.2735, 4.2792, 4.2729, 4.254, 4.2333, 4.2152, 4.1968, 4.1769, 4.1592, 4.1472, 4.145 
0.66625, 0.67076, 0.67268, 0.67403, 0.67686, 0.68276, 0.68914, 0.69124, 0.68826, 0.68266, 0.67573, 0.66726, 0.65707, 0.64523, 0.63183, 0.61695 
0.10011, 0.22939, 0.31808, 0.37135, 0.39433, 0.39236, 0.37266, 0.34381, 0.32027, 0.32035, 0.33186, 0.30599, 0.22334, 0.12014, 0.038295, 0.019717 
-0.11629, -0.24129, -0.35406, -0.43481, -0.46377, -0.42674, -0.36468, -0.34671, -0.39002, -0.46824, -0.54846, -0.59174, -0.58336, -0.55195, -0.53056, -0.55226 
0.75029, 0.72482, 0.73913, 0.75905, 0.75043, 0.6865, 0.61323, 0.61319, 0.6908, 0.78622, 0.87001, 0.95172, 1.0378, 1.125, 1.2093, 1.2864 
-0.73411, -0.71292, -0.70316, -0.69559, -0.68099, -0.65212, -0.62121, -0.6103, -0.62105, -0.63833, -0.65341, -0.66598, -0.67776, -0.6932, -0.717, -0.7539 
-0.83422, -0.94405, -1.0205, -1.0617, -1.0656, -1.0319, -0.97545, -0.91952, -0.88277, -0.87897, -0.89063, -0.8632, -0.78005, -0.6953, -0.67026, -0.76626 
0.7501, 0.70393, 0.6514, 0.59711, 0.54566, 0.50031, 0.45113, 0.38196, 0.29803, 0.22189, 0.16056, 0.10174, 0.041855, -0.0053879, -0.024501, 2.2493e-18 
-0.015983, 0.010676, 0.051031, 0.093296, 0.12568, 0.13914, 0.15154, 0.19406, 0.26501, 0.33591, 0.39611, 0.45744, 0.52279, 0.57706, 0.60327, 0.58447 
-0.1485, -0.06328, -0.006285, 0.032502, 0.063097, 0.094705, 0.12854, 0.16144, 0.19286, 0.22446, 0.25803, 0.29543, 0.3344, 0.36547, 0.37839, 0.36296 
-0.67, -0.59172, -0.54666, -0.52345, -0.51071, -0.49796, -0.4832, -0.46925, -0.45809, -0.45089, -0.44612, -0.439, -0.42796, -0.41733, -0.41205, -0.41706 
0.017599, 0.031634, -0.0043778, -0.060404, -0.10641, -0.11493, -0.083663, -0.025005, 0.041952, 0.093244, 0.12325, 0.14856, 0.17758, 0.20201, 0.21182, 0.19701 
-0.2978, -0.35824, -0.382, -0.3766, -0.3496, -0.30881, -0.26478, -0.22951, -0.21349, -0.22541, -0.2553, -0.27098, -0.25757, -0.233, -0.21854, -0.23549 
